username,student_no,kp_code,watched_minutes,completion_ratio,happened_at,note
student1,,OS-1,50,0.95,2026-05-01,阶段3视频学习
student1,,OS-2,48,0.93,2026-05-02,阶段3视频学习
student1,,OS-3,46,0.92,2026-05-03,阶段3视频学习
student1,,OS-4,45,0.90,2026-05-04,阶段3视频学习
student2,,OS-1,44,0.88,2026-05-01,阶段3视频学习
student2,,OS-2,42,0.86,2026-05-02,阶段3视频学习
student2,,OS-3,40,0.84,2026-05-03,阶段3视频学习
student2,,OS-4,38,0.82,2026-05-04,阶段3视频学习
student3,,OS-1,20,0.42,2026-05-01,阶段3视频学习
student3,,OS-2,18,0.40,2026-05-02,阶段3视频学习
student3,,OS-3,16,0.35,2026-05-03,阶段3视频学习
student3,,OS-4,14,0.30,2026-05-04,阶段3视频学习
