username,student_no,kp_code,score,completion_ratio,duration_minutes,happened_at,note
student1,,OS-1,75,0.75,18,2026-03-09,阶段1小测
student1,,OS-2,74,0.74,19,2026-03-09,阶段1小测
student1,,OS-3,72,0.72,20,2026-03-10,阶段1小测
student1,,OS-4,70,0.70,20,2026-03-10,阶段1小测
student2,,OS-1,62,0.62,21,2026-03-09,阶段1小测
student2,,OS-2,60,0.60,22,2026-03-09,阶段1小测
student2,,OS-3,58,0.58,22,2026-03-10,阶段1小测
student2,,OS-4,56,0.56,23,2026-03-10,阶段1小测
student3,,OS-1,45,0.45,25,2026-03-09,阶段1小测
student3,,OS-2,42,0.42,25,2026-03-09,阶段1小测
student3,,OS-3,40,0.40,26,2026-03-10,阶段1小测
student3,,OS-4,38,0.38,27,2026-03-10,阶段1小测
