username,student_no,kp_code,score,completion_ratio,submitted_on_time,happened_at,note
student1,,OS-1,90,1,yes,2026-05-05,阶段3作业
student1,,OS-2,88,0.98,yes,2026-05-06,阶段3作业
student1,,OS-3,86,0.96,yes,2026-05-07,阶段3作业
student1,,OS-4,84,0.95,yes,2026-05-08,阶段3作业
student2,,OS-1,82,0.94,yes,2026-05-05,阶段3作业
student2,,OS-2,80,0.92,yes,2026-05-06,阶段3作业
student2,,OS-3,78,0.90,yes,2026-05-07,阶段3作业
student2,,OS-4,76,0.88,yes,2026-05-08,阶段3作业
student3,,OS-1,58,0.70,no,2026-05-05,阶段3作业
student3,,OS-2,55,0.68,no,2026-05-06,阶段3作业
student3,,OS-3,52,0.65,no,2026-05-07,阶段3作业
student3,,OS-4,50,0.62,no,2026-05-08,阶段3作业
