username,student_no,kp_code,score,completion_ratio,status,happened_at,note
student1,,OS-1,0.85,0.85,active,2026-03-02,阶段1课堂参与
student1,,OS-2,0.82,0.82,active,2026-03-04,阶段1课堂参与
student1,,OS-3,0.80,0.80,active,2026-03-06,阶段1课堂参与
student1,,OS-4,0.78,0.78,active,2026-03-08,阶段1课堂参与
student2,,OS-1,0.65,0.70,active,2026-03-02,阶段1课堂参与
student2,,OS-2,0.62,0.68,active,2026-03-04,阶段1课堂参与
student2,,OS-3,0.60,0.66,active,2026-03-06,阶段1课堂参与
student2,,OS-4,0.58,0.64,active,2026-03-08,阶段1课堂参与
student3,,OS-1,0.30,0.35,passive,2026-03-02,阶段1课堂参与
student3,,OS-2,0.28,0.32,passive,2026-03-04,阶段1课堂参与
student3,,OS-3,0.25,0.30,passive,2026-03-06,阶段1课堂参与
student3,,OS-4,0.22,0.28,passive,2026-03-08,阶段1课堂参与
