username,student_no,kp_code,score,completion_ratio,duration_minutes,happened_at,note
student1,,OS-1,88,0.88,16,2026-05-09,阶段3小测
student1,,OS-2,86,0.86,17,2026-05-09,阶段3小测
student1,,OS-3,84,0.84,18,2026-05-10,阶段3小测
student1,,OS-4,82,0.82,18,2026-05-10,阶段3小测
student2,,OS-1,78,0.78,18,2026-05-09,阶段3小测
student2,,OS-2,76,0.76,19,2026-05-09,阶段3小测
student2,,OS-3,74,0.74,19,2026-05-10,阶段3小测
student2,,OS-4,72,0.72,20,2026-05-10,阶段3小测
student3,,OS-1,52,0.52,23,2026-05-09,阶段3小测
student3,,OS-2,50,0.50,24,2026-05-09,阶段3小测
student3,,OS-3,48,0.48,24,2026-05-10,阶段3小测
student3,,OS-4,46,0.46,25,2026-05-10,阶段3小测
