username,student_no,kp_code,watched_minutes,completion_ratio,happened_at,note
student1,,OS-1,42,0.85,2026-03-01,阶段1视频学习
student1,,OS-2,38,0.80,2026-03-02,阶段1视频学习
student1,,OS-3,36,0.78,2026-03-03,阶段1视频学习
student1,,OS-4,34,0.75,2026-03-04,阶段1视频学习
student2,,OS-1,28,0.60,2026-03-01,阶段1视频学习
student2,,OS-2,26,0.58,2026-03-02,阶段1视频学习
student2,,OS-3,24,0.55,2026-03-03,阶段1视频学习
student2,,OS-4,22,0.50,2026-03-04,阶段1视频学习
student3,,OS-1,15,0.30,2026-03-01,阶段1视频学习
student3,,OS-2,12,0.25,2026-03-02,阶段1视频学习
student3,,OS-3,10,0.20,2026-03-03,阶段1视频学习
student3,,OS-4,8,0.18,2026-03-04,阶段1视频学习
