username,student_no,kp_code,score,completion_ratio,duration_minutes,happened_at,note
student1,,OS-1,82,0.82,17,2026-04-09,阶段2小测
student1,,OS-2,80,0.80,18,2026-04-09,阶段2小测
student1,,OS-3,78,0.78,18,2026-04-10,阶段2小测
student1,,OS-4,76,0.76,19,2026-04-10,阶段2小测
student2,,OS-1,72,0.72,19,2026-04-09,阶段2小测
student2,,OS-2,70,0.70,20,2026-04-09,阶段2小测
student2,,OS-3,68,0.68,20,2026-04-10,阶段2小测
student2,,OS-4,66,0.66,21,2026-04-10,阶段2小测
student3,,OS-1,48,0.48,24,2026-04-09,阶段2小测
student3,,OS-2,46,0.46,25,2026-04-09,阶段2小测
student3,,OS-3,44,0.44,25,2026-04-10,阶段2小测
student3,,OS-4,42,0.42,26,2026-04-10,阶段2小测
