username,student_no,kp_code,watched_minutes,completion_ratio,happened_at,note
student1,,OS-1,46,0.90,2026-04-01,阶段2视频学习
student1,,OS-2,44,0.88,2026-04-02,阶段2视频学习
student1,,OS-3,42,0.86,2026-04-03,阶段2视频学习
student1,,OS-4,40,0.84,2026-04-04,阶段2视频学习
student2,,OS-1,36,0.76,2026-04-01,阶段2视频学习
student2,,OS-2,34,0.74,2026-04-02,阶段2视频学习
student2,,OS-3,32,0.72,2026-04-03,阶段2视频学习
student2,,OS-4,30,0.70,2026-04-04,阶段2视频学习
student3,,OS-1,18,0.36,2026-04-01,阶段2视频学习
student3,,OS-2,16,0.34,2026-04-02,阶段2视频学习
student3,,OS-3,15,0.30,2026-04-03,阶段2视频学习
student3,,OS-4,12,0.25,2026-04-04,阶段2视频学习
